
Tinglyst	Boligtype	Andelsnummer	Pris
12.11.2010	Blokkleilighet	118	1 580 000,−
11.10.2010	Blokkleilighet	142	1 675 000,−
09.08.2010	Blokkleilighet	65	1 750 000,−
01.06.2010	Blokkleilighet	161	1 700 000,−
05.05.2010	Blokkleilighet	31	1 620 000,−
03.05.2010	Blokkleilighet	35	1 630 000,−
30.04.2010	Blokkleilighet	28	1 620 000,−
08.03.2010	Blokkleilighet	121	1 170 000,−
21.01.2010	Blokkleilighet	150	1 675 000,−
02.12.2009	Blokkleilighet	152	1 765 000,−
08.10.2009	Blokkleilighet	86	1 425 000,−
05.10.2009	Blokkleilighet	159	1 615 000,−
06.07.2009	Blokkleilighet	164	1 500 000,−
24.06.2009	Blokkleilighet	129	1 670 000,−
25.05.2009	Blokkleilighet	37	1 470 000,−
04.05.2009	Blokkleilighet	139	1 600 000,−
19.03.2009	Uoppgitt	65	1 150 000,−
11.03.2009	Blokkleilighet	37	1 450 000,−
21.01.2009	Blokkleilighet	167	1 530 000,−
17.09.2008	Blokkleilighet	31	1 460 000,−
02.09.2008	Blokkleilighet	61	1 550 000,−
19.06.2008	Blokkleilighet	133	1 430 000,−
05.06.2008	Uoppgitt	87	1 550 000,−
05.05.2008	Blokkleilighet	94	1 700 000,−
12.11.2007	Blokkleilighet	160	1 670 000,−
28.09.2007	Blokkleilighet	149	1 775 000,−
26.07.2007	Uoppgitt	66	1 600 000,−
16.07.2007	Blokkleilighet	145	1 850 000,−
22.06.2007	Blokkleilighet	128	1 750 000,−
25.05.2007	Uoppgitt	141	1 680 000,−
15.03.2007	Uoppgitt	37	1 530 000,−
05.02.2007	Blokkleilighet	96	1 410 000,−
04.01.2007	Blokkleilighet	149	1 510 000,−
